id,value,name,team,pos,inj,g,m_g,p_g,th_g,r_g,a_g,s_g,b_g,fgp,fga_g,ftp,fta_g,to_g,season
24,0.270888427590544,Nicolas Claxton,BKN,C,,76,29.8754385964912,12.6447368421053,0,9.23684210526316,1.89473684210526,0.855263157894737,2.48684210526316,0.705281090289608,7.72368421052632,0.540650406504065,3.23684210526316,1.26315789473684,23
25,0.257983648365974,Paul George,LAC,SG/SF/PF,,56,34.6241071428571,23.7857142857143,2.82142857142857,6.10714285714286,5.14285714285714,1.48214285714286,0.357142857142857,0.457171314741036,17.9285714285714,0.870748299319728,5.25,3.14285714285714,23
26,0.245441540874072,Nikola Vucevic,CHI,C,,82,33.4900406504065,17.6463414634146,1.47560975609756,11.0121951219512,3.23170731707317,0.731707317073171,0.695121951219512,0.520034843205575,14,0.835443037974684,1.92682926829268,1.69512195121951,23
27,0.216143456720791,O.G. Anunoby,TOR,SG/SF,,67,35.6064676616915,16.7761194029851,2.11940298507463,4.95522388059702,1.95522388059702,1.91044776119403,0.746268656716418,0.475706214689266,13.2089552238806,0.838323353293413,2.49253731343284,1.97014925373134,23
28,0.204975716660036,DeMar DeRozan,CHI,SF/PF,,74,36.2378378378378,24.5405405405405,0.621621621621622,4.63513513513514,5.09459459459459,1.12162162162162,0.486486486486487,0.504221028396009,17.6081081081081,0.87189292543021,7.06756756756757,2.06756756756757,23
29,0.184861941594152,Devin Booker,PHO,SG/SF,,53,34.6308176100629,27.7547169811321,2.09433962264151,4.52830188679245,5.52830188679245,0.962264150943396,0.339622641509434,0.493908153701968,20.1320754716981,0.854748603351955,6.75471698113208,2.73584905660377,23
30,0.180251331001923,LaMelo Ball,CHA,PG/SG,,36,35.2162037037037,23.2777777777778,4,6.41666666666667,8.44444444444444,1.27777777777778,0.305555555555556,0.410540915395284,20.0277777777778,0.836065573770492,3.38888888888889,3.58333333333333,23
31,0.175038482110091,Chris Paul,PHO,PG,,59,32.0104519774011,13.8813559322034,1.66101694915254,4.25423728813559,8.88135593220339,1.54237288135593,0.372881355932203,0.440119760479042,11.3220338983051,0.83125,2.71186440677966,1.93220338983051,23
32,0.173399195629386,Mikal Bridges,BKN,SG/SF,,83,35.6991967871486,20.1325301204819,2.03614457831325,4.3855421686747,3.28915662650602,1.09638554216867,0.734939759036145,0.468034727703236,15.2650602409639,0.895184135977337,4.25301204819277,1.53012048192771,23
33,0.156011383425414,Jarrett Allen,CLE,C,,68,32.6477941176471,14.25,0.0147058823529412,9.79411764705882,1.66176470588235,0.794117647058823,1.23529411764706,0.643769968051118,9.20588235294118,0.733031674208145,3.25,1.36764705882353,23
